"id","location","featured","page_title","meta_description","meta_keywords","image","header","paragraph","paragraph2","paragraph3","paragraph4","paragraph5","paragraph6","paragraph7","paragraph8","paragraph9","paragraph10"
"1","Australia",,"Recruitment Agency Australia | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Australia","Recruitment Agency Australia",,"Recruitment Agency Australia","JobContax has operated in the Australian market since 2001.<br>
In Australia, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"2","Saudi Arabia","0","Recruitment Agency Saudi Arabia | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Saudi Arabia","Recruitment Agency Saudi Arabia",,"Recruitment Agency Saudi Arabia","JobContax has operated in the Saudi Arabian market since 2001.<br>
In Saudi Arabia JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>
",,,,,,,,,
"3","Canada",,"Recruitment Agency Canada | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Canada","Recruitment Agency Canada",,"Recruitment Agency Canada","JobContax has operated in the Canadian market since 2001.<br>
In Canada JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>
",,,,,,,,,
"4","China",,"Recruitment Agency China | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in China","Recruitment Agency China",,"Recruitment Agency China","JobContax has operated in the Chinese market since 2001.<br>
In China JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"5","UAE","0","Recruitment Agency UAE | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in UAE","Recruitment Agency UAE",,"Recruitment Agency UAE","JobContax has operated in the UAE market since 2001.<br>
In the United Arab Emerites JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"6","Qatar","0","Recruitment Agency Qatar | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Qatar","Recruitment Agency Qatar",,"Recruitment Agency Qatar","JobContax has operated in the Qatari market since 2001.<br>
In Qatar JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"7","India",,"Recruitment Agency India | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in India","Recruitment Agency India",,"Recruitment Agency India","JobContax has operated in the Indian  market since 2001.<br>
In India JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"8","Ireland",,"Recruitment Agency Ireland | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Ireland","Recruitment Agency Ireland",,"Recruitment Agency Ireland","JobContax has operated in the Irish market since 2001.<br>
In Ireland JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"9","Tanzania","0","Recruitment Agency Tanzania | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Tanzania","Recruitment Agency Tanzania",,"Recruitment Agency Tanzania","JobContax has operated in the Tanzanian market since 2001.<br>
In Tanzania, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"10","Dublin","0","Recruitment Agency Dublin | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Dublin","Recruitment Agency Dublin",,"Recruitment Agency Dublin","JobContax has operated in the Dublin market since 2001.<br>
In Dublin, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"11","Cork","0","Recruitment Agency Cork | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Cork","Recruitment Agency Cork",,"Recruitment Agency Cork","JobContax has operated in the Cork market since 2001.<br>
In Cork, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"12","Galway","0","Recruitment Agency Galway | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Galway","Recruitment Agency Galway",,"Recruitment Agency Galway","JobContax has operated in the Galway market since 2001.<br>
In Galway, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"13","New Zealand",,"Recruitment Agency New Zealand | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in New Zealand","Recruitment Agency New Zealand",,"Recruitment Agency New Zealand","JobContax has operated in the New Zealand market since 2001.<br>
In New Zealand, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>
",,,,,,,,,
"14","Belfast","0","Recruitment Agency Belfast | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Belfast","Recruitment Agency Belfast",,"Recruitment Agency Belfast","JobContax has operated in the Belfast market since 2001.<br>
In Saudi Arabia JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"15","Northern Ireland",,"Recruitment Agency Northern Ireland | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Northern Ireland","Recruitment Agency Northern Ireland",,"Recruitment Agency Northern Ireland","JobContax has operated in the Northern Ireland market since 2001.<br>
In Northern Ireland, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"16","Waterford","0","Recruitment Agency Waterford | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Waterford","Recruitment Agency Waterford",,"Recruitment Agency Waterford","JobContax has operated in the Waterford market since 2001.<br>
In Waterford, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"17","Africa","0","Recruitment Agency Africa | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Africa","Recruitment Agency Africa",,"Recruitment Agency Africa","JobContax has operated in the African market since 2001.<br>
In Africa, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"20","Asia","0","Recruitment Agency Asia | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Asia","Recruitment Agency Asia",,"Recruitment Agency Asia","JobContax has operated in the Asian market since 2001.<br>
In Asia, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"23","Europe","0","Recruitment Agency Europe | JobContax","JobContax is a recruitment agency that specialises in the Engineering - Design | Construction - Infrastructure | Life Sciences | Manufacturing - Food & Beverage sectors in Europe","Recruitment Agency Europe",,"Recruitment Agency Europe","JobContax has operated in the European market since 2001.<br>
In Europe, JobContax specialises in the following sectors:<br><br>
Engineering - Design<br>
Construction - Infrastructure<br> 
Life Sciences<br>
Manufacturing<br> 
Food & Beverage<br><br>
JobContax recruits for EPCm Consultancies and contractors including Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
