"id","role","location","featured","page_title","meta_description","meta_keywords","image","header","paragraph","paragraph2","paragraph3","paragraph4","paragraph5","paragraph6","paragraph7","paragraph8","paragraph9","paragraph10"
"1","Construction","Ireland","0","Construction Recruitment Agency Ireland | JobContax","Jobcontax is a specialist Construction recruitment agency with operations in Ireland",,NULL,"Construction Recruitment Agency Ireland","JobContax is a specialist recruitment company in the Construction sector.<br>
JobContax has recruited for construction companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"2","Engineering","Ireland","0","Engineering Recruitment Agency Ireland | JobContax","Jobcontax is a specialist Engineering recruitment agency with operations in Ireland",,NULL,"Engineering Recruitment Agency Ireland","JobContax is a specialist recruitment company in the Engineering & Design sector.<br>
JobContax has recruited for Engineering & Design companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"3","Biotechnology","Ireland","0","Biotechnology Recruitment Agency Ireland | JobContax","Jobcontax is a specialist Biotechnology recruitment agency with operations in Ireland",,NULL,"Biotechnology Recruitment Agency Ireland","JobContax is a specialist recruitment company in the Biotechnology sector.<br>
JobContax has recruited for Biotechnology companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"4","Pharmaceutical","Ireland","0","Pharmaceutical Recruitment Agency Ireland | JobContax","Jobcontax is a specialist Pharmaceutical recruitment agency with operations in Ireland",,NULL,"Pharmaceutical Recruitment Agency Ireland","JobContax is a specialist recruitment company in the Pharmaceutical sector.<br>
JobContax has recruited for Pharmaceutical companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"5","Medical Device","Ireland","0","Medical Device Recruitment Agency Ireland | JobContax","Jobcontax is a specialist Medical Device recruitment agency with operations in Ireland",,NULL,"Medical Device Recruitment Agency Ireland","JobContax is a specialist recruitment company in the Medical Device sector.<br>
JobContax has recruited for Medical Device companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"6","Manufacturing","Ireland","0","Manufacturing Recruitment Agency Ireland | JobContax","Jobcontax is a specialist Manufacturing recruitment agency with operations in Ireland",,NULL,"Manufacturing Recruitment Agency Ireland","JobContax is a specialist recruitment company in the Manufacturing sector.<br>
JobContax has recruited for Manufacturing companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"7","Lineman","Ireland","0","Lineman Recruitment Agency Ireland | JobContax","Jobcontax is a specialist Lineman recruitment agency with operations in Ireland",,NULL,"Lineman Recruitment Agency Ireland","JobContax is a specialist recruitment company in the Lineman sector.<br>
JobContax has recruited for Lineman companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"8","Automation","Ireland","0","Automation Recruitment Agency Ireland | JobContax","Jobcontax is a specialist Automation recruitment agency with operations in Ireland",,NULL,"Automation Recruitment Agency Ireland","JobContax is a specialist recruitment company in the Automation sector.<br>
JobContax has recruited for Automation companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"9","Life Sciences","Ireland","0","Life Sciences Recruitment Agency Ireland | JobContax","Jobcontax is a specialist Life Sciences recruitment agency with operations in Ireland",,NULL,"Life Sciences Recruitment Agency Ireland","JobContax is a specialist recruitment company in the Life Sciences sector.<br>
JobContax has recruited for Life Sciences companies in Ireland since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
"10","Construction","UK","0","Construction Recruitment Agency UK | JobContax","Jobcontax is a specialist Construction recruitment agency with operations in the UK",,NULL,"Construction Recruitment Agency UK","JobContax is a specialist recruitment company in the Construction sector.<br>
JobContax has recruited for construction companies in the UK since 2001.<br>
JobContax clients include Amec, Amgen, BHP Billiton, Carillion, Coca Cola, Emaar, GSK, Habtoor Leighton, Intel, Jacobs Engineering, J&J, Pfizer, Saint Gobain, Shell and many more.<br>",,,,,,,,,
